epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.202,1.61075,4.10776,1.65638,0.00346,0.63927,0.1282,0.09317,0.99077,3.90525,1.08523,9e-05,9e-05,9e-05
2,161.45,1.24792,3.73249,1.32038,0.01613,0.83523,0.2782,0.16293,1.40919,3.95592,1.25053,0.000188119,0.000188119,0.000188119
3,195.277,1.18408,3.16757,1.24635,0.00824,0.83523,0.45108,0.29522,1.16038,3.80744,1.13953,0.000284258,0.000284258,0.000284258
4,218.583,1.14501,2.58694,1.21928,0.01037,0.84356,0.46216,0.28379,1.03623,3.65377,1.10624,0.000378417,0.000378417,0.000378417
5,253.71,1.14448,2.25569,1.24375,0.99342,0.1103,0.5767,0.36908,1.20056,3.27906,1.20625,0.000470596,0.000470596,0.000470596
6,287.601,1.12961,1.99407,1.19779,0.90906,0.16746,0.61861,0.39984,1.03783,3.07113,1.18873,0.000560795,0.000560795,0.000560795
7,318.319,1.1701,1.86993,1.20036,0.68199,0.43929,0.51208,0.28788,1.13932,2.58744,1.24774,0.000649014,0.000649014,0.000649014
8,347.932,1.11329,1.7131,1.17596,0.7621,0.47778,0.58196,0.32407,1.35028,2.41101,1.38652,0.000735253,0.000735253,0.000735253
9,380.451,1.15472,1.73067,1.20271,0.6304,0.56377,0.56531,0.37061,1.1685,2.32764,1.28691,0.000819512,0.000819512,0.000819512
10,412.368,1.11545,1.61762,1.17474,0.69866,0.47385,0.55008,0.32651,1.15408,2.38423,1.31216,0.000901791,0.000901791,0.000901791
11,440.418,1.10746,1.65672,1.20635,0.7992,0.00833,0.0121,0.00604,3.29218,4.20207,2.92234,0.000901,0.000901,0.000901
12,467.61,1.11542,1.52431,1.19578,0.39445,0.30426,0.25071,0.15465,1.4092,2.75197,1.37758,0.0008911,0.0008911,0.0008911
13,501.432,1.16826,1.54394,1.22639,0.68701,0.44186,0.52868,0.31032,1.22681,2.34069,1.29053,0.0008812,0.0008812,0.0008812
14,531.393,1.07061,1.42543,1.17171,0.82062,0.44096,0.57712,0.33108,1.38023,2.55341,1.4768,0.0008713,0.0008713,0.0008713
15,562.456,1.08755,1.32112,1.16331,0.72974,0.51121,0.53853,0.35443,1.24074,1.69526,1.30124,0.0008614,0.0008614,0.0008614
16,593.772,1.01973,1.22956,1.1283,0.77344,0.49379,0.58584,0.38963,1.13369,1.97727,1.32293,0.0008515,0.0008515,0.0008515
17,624.146,1.00869,1.17255,1.14245,0.71351,0.54301,0.58492,0.37633,1.03727,2.09867,1.20632,0.0008416,0.0008416,0.0008416
18,653.947,1.01739,1.19135,1.12932,0.63385,0.61473,0.59752,0.41008,1.01133,1.58339,1.14031,0.0008317,0.0008317,0.0008317
19,682.594,1.00637,1.09901,1.13964,0.61989,0.58453,0.55351,0.37203,1.0762,1.85179,1.25473,0.0008218,0.0008218,0.0008218
20,714.899,0.98773,1.05193,1.12297,0.62411,0.55673,0.56616,0.39578,0.95524,1.78661,1.16118,0.0008119,0.0008119,0.0008119
21,743.111,1.0272,1.11729,1.14621,0.60127,0.57276,0.57089,0.40535,0.98126,2.2824,1.17605,0.000802,0.000802,0.000802
22,772.957,0.96907,0.99524,1.11209,0.79974,0.63143,0.67972,0.44278,1.09651,1.37087,1.18919,0.0007921,0.0007921,0.0007921
23,805.048,0.97568,0.94284,1.12044,0.83832,0.62102,0.67666,0.44523,0.97693,1.34055,1.20207,0.0007822,0.0007822,0.0007822
24,838.768,0.93741,0.93775,1.09841,0.83507,0.6671,0.73861,0.51465,1.01045,1.18331,1.13546,0.0007723,0.0007723,0.0007723
25,868.668,0.92131,0.94352,1.08722,0.74526,0.62111,0.65223,0.45045,1.05984,1.47416,1.17985,0.0007624,0.0007624,0.0007624
26,901.375,0.94755,0.93572,1.09716,0.79836,0.64968,0.7037,0.48622,0.99678,1.21743,1.16779,0.0007525,0.0007525,0.0007525
