epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1915,0.86472,3.24205,1.13693,0.62007,0.27188,0.40712,0.31608,0.94149,2.33338,1.17847,0.000327869,0.000327869,0.000327869
2,54.6448,0.85228,2.29251,1.08372,0.46799,0.50714,0.5071,0.37179,1.00696,1.81718,1.22456,0.000661041,0.000661041,0.000661041
3,75.7756,0.92012,2.10787,1.11359,0.54381,0.55562,0.56821,0.41908,0.96162,1.81634,1.18222,0.000993564,0.000993564,0.000993564
4,97.1776,0.85918,1.85462,1.10011,0.55849,0.54547,0.51063,0.36221,0.96342,2.46731,1.18008,0.000997803,0.000997803,0.000997803
5,117.946,0.88572,1.75849,1.11283,0.58544,0.6167,0.61546,0.46046,0.92707,1.96956,1.16549,0.000996097,0.000996097,0.000996097
6,137.25,0.89016,1.60387,1.0962,0.69293,0.59555,0.64475,0.47906,0.9156,1.3653,1.16034,0.000993906,0.000993906,0.000993906
7,158.905,0.85352,1.50219,1.07289,0.67891,0.67576,0.68457,0.48261,0.90123,1.26431,1.16681,0.000991232,0.000991232,0.000991232
8,179.382,0.84306,1.45888,1.07588,0.82284,0.6299,0.69376,0.50645,0.97116,1.25122,1.20438,0.000988079,0.000988079,0.000988079
9,198.811,0.84111,1.35515,1.06549,0.70193,0.64644,0.66363,0.47629,0.89742,1.61622,1.18268,0.000984449,0.000984449,0.000984449
10,219.744,0.83411,1.30983,1.0802,0.80057,0.61954,0.71324,0.51242,0.90876,1.25676,1.16336,0.000980345,0.000980345,0.000980345
11,239.802,0.82975,1.193,1.08419,0.80164,0.70633,0.74627,0.55604,0.88361,0.99197,1.13658,0.000975773,0.000975773,0.000975773
12,258.948,0.84329,1.17787,1.07714,0.83951,0.68107,0.733,0.56484,0.87898,0.94553,1.14315,0.000970736,0.000970736,0.000970736
13,278.655,0.79852,1.12349,1.06245,0.89863,0.71344,0.77884,0.57467,0.88256,1.00501,1.14454,0.000965239,0.000965239,0.000965239
14,297.984,0.79047,1.05901,1.0605,0.8748,0.71105,0.76851,0.54855,0.90307,0.94305,1.16847,0.000959289,0.000959289,0.000959289
15,314.314,0.79782,1.06803,1.06053,0.89226,0.67205,0.79981,0.55383,0.906,0.99656,1.14516,0.000952889,0.000952889,0.000952889
16,333.762,0.8074,0.99274,1.06997,0.78498,0.69985,0.76074,0.56763,0.82272,1.04597,1.10981,0.000946048,0.000946048,0.000946048
17,352.494,0.77368,0.98021,1.04643,0.80802,0.67353,0.74791,0.57716,0.8203,0.97113,1.12218,0.000938772,0.000938772,0.000938772
18,372.103,0.76467,0.92914,1.05301,0.83057,0.7746,0.76998,0.58618,0.84903,0.84351,1.13456,0.000931067,0.000931067,0.000931067
19,389.927,0.7513,0.94214,1.0336,0.79884,0.72937,0.73027,0.56434,0.83969,0.84427,1.13732,0.000922942,0.000922942,0.000922942
20,413.765,0.80055,0.94474,1.05977,0.86388,0.74616,0.78966,0.58971,0.83698,0.97605,1.11382,0.000914405,0.000914405,0.000914405
21,435.463,0.76665,0.88752,1.03374,0.8532,0.76003,0.79902,0.58319,0.87046,0.85583,1.08463,0.000905463,0.000905463,0.000905463
22,456.573,0.75881,0.8577,1.03728,0.79278,0.78031,0.78265,0.57497,0.86223,0.85316,1.10153,0.000896127,0.000896127,0.000896127
23,475.78,0.77384,0.84576,1.03245,0.83923,0.75456,0.7696,0.56929,0.80926,0.87058,1.10497,0.000886404,0.000886404,0.000886404
24,495.516,0.74455,0.81481,1.03044,0.82158,0.77287,0.80032,0.5835,0.85209,0.83469,1.07951,0.000876305,0.000876305,0.000876305
25,516.559,0.73979,0.80002,1.03651,0.8332,0.71464,0.72944,0.53716,0.86295,0.95516,1.1311,0.000865839,0.000865839,0.000865839
26,539.523,0.7531,0.78079,1.05011,0.85356,0.65428,0.73016,0.56041,0.81796,0.90804,1.10879,0.000855018,0.000855018,0.000855018
27,562.73,0.7454,0.803,1.03177,0.80166,0.75513,0.77123,0.56159,0.8405,0.93689,1.08726,0.000843851,0.000843851,0.000843851
28,584.597,0.72981,0.75215,1.02348,0.87882,0.76282,0.78974,0.58645,0.82057,0.80016,1.11276,0.000832349,0.000832349,0.000832349
29,604.092,0.69629,0.715,1.01107,0.87188,0.66548,0.75549,0.54948,0.86291,0.9306,1.15477,0.000820525,0.000820525,0.000820525
30,625.065,0.70557,0.7115,1.02192,0.92312,0.7679,0.82821,0.60606,0.83645,0.76069,1.12513,0.000808389,0.000808389,0.000808389
31,643.961,0.71026,0.73486,1.02808,0.89756,0.73525,0.82214,0.61946,0.83282,0.78502,1.10322,0.000795954,0.000795954,0.000795954
32,663.634,0.74486,0.73888,1.0213,0.88861,0.75715,0.78665,0.60892,0.85396,0.75498,1.09578,0.000783231,0.000783231,0.000783231
33,682.912,0.71889,0.66811,1.01915,0.80931,0.75622,0.80098,0.59883,0.79424,0.81532,1.09274,0.000770234,0.000770234,0.000770234
34,704.064,0.69685,0.66675,1.0133,0.84015,0.69155,0.78364,0.59229,0.82751,0.94309,1.11558,0.000756976,0.000756976,0.000756976
35,724.289,0.69489,0.66712,1.03472,0.83619,0.73621,0.77707,0.59533,0.81581,0.80886,1.10716,0.000743468,0.000743468,0.000743468
36,745.869,0.68586,0.65839,1.01569,0.79526,0.73362,0.76623,0.60778,0.82316,0.77282,1.11695,0.000729725,0.000729725,0.000729725
37,766.633,0.69592,0.65474,1.01316,0.86305,0.73407,0.77562,0.58457,0.84014,0.84585,1.11381,0.000715761,0.000715761,0.000715761
38,786.615,0.70424,0.62775,1.01124,0.78295,0.72763,0.7317,0.57022,0.8471,0.86639,1.14199,0.000701588,0.000701588,0.000701588
39,807.488,0.67379,0.6217,1.00544,0.8884,0.74934,0.81011,0.58689,0.85662,0.78415,1.09476,0.000687222,0.000687222,0.000687222
40,827.364,0.66737,0.62736,0.9975,0.86066,0.71669,0.78137,0.58908,0.89887,0.79296,1.13296,0.000672675,0.000672675,0.000672675
41,847.883,0.62495,0.58235,0.98149,0.8497,0.73392,0.7872,0.60519,0.8334,0.79816,1.14684,0.000657963,0.000657963,0.000657963
42,866.288,0.69192,0.62171,1.02216,0.86322,0.73311,0.79345,0.62343,0.8234,0.7579,1.10841,0.000643101,0.000643101,0.000643101
43,884.278,0.67258,0.61593,0.99119,0.86794,0.71354,0.75967,0.57958,0.80646,0.89406,1.12309,0.000628101,0.000628101,0.000628101
44,901.963,0.6911,0.61533,1.01833,0.8257,0.75999,0.77846,0.59031,0.81657,0.76303,1.09674,0.000612981,0.000612981,0.000612981
45,920.107,0.685,0.58543,1.01858,0.8353,0.70258,0.75612,0.58931,0.81634,0.8198,1.09897,0.000597754,0.000597754,0.000597754
46,938.071,0.66566,0.58783,1.01595,0.83791,0.69609,0.75364,0.58262,0.83214,0.8269,1.09635,0.000582435,0.000582435,0.000582435
47,956.174,0.67135,0.59157,1.01686,0.87773,0.76017,0.80421,0.60953,0.82015,0.80576,1.10169,0.00056704,0.00056704,0.00056704
48,975.941,0.64522,0.57969,0.98764,0.93531,0.75363,0.82904,0.6268,0.77698,0.75751,1.08243,0.000551584,0.000551584,0.000551584
49,994.714,0.63275,0.54181,0.97847,0.83566,0.76353,0.78747,0.61573,0.8,0.75963,1.08931,0.000536081,0.000536081,0.000536081
50,1012.79,0.61996,0.55147,0.97983,0.83934,0.76599,0.78228,0.61293,0.80235,0.72211,1.11821,0.000520548,0.000520548,0.000520548
51,1030.37,0.60642,0.52204,0.95846,0.83588,0.77565,0.78752,0.61729,0.80569,0.71607,1.10492,0.000505,0.000505,0.000505
52,1049.32,0.6582,0.57645,0.99461,0.84973,0.80681,0.81553,0.62994,0.78172,0.66697,1.11002,0.000489452,0.000489452,0.000489452
53,1068,0.58375,0.51649,0.95937,0.87911,0.78519,0.80778,0.6134,0.77671,0.76876,1.07766,0.000473919,0.000473919,0.000473919
54,1085.67,0.60412,0.55077,0.98277,0.91084,0.74951,0.81489,0.62371,0.81409,0.74724,1.08263,0.000458416,0.000458416,0.000458416
55,1103.48,0.58314,0.51554,0.95993,0.89077,0.7551,0.78061,0.61884,0.77829,0.687,1.10341,0.00044296,0.00044296,0.00044296
56,1122.05,0.62415,0.51649,0.98889,0.87695,0.77731,0.81054,0.63054,0.78299,0.67088,1.10789,0.000427565,0.000427565,0.000427565
57,1141.63,0.60952,0.51298,0.96828,0.88976,0.75972,0.79436,0.62988,0.80762,0.68724,1.0886,0.000412246,0.000412246,0.000412246
58,1160.74,0.5957,0.50969,0.97317,0.87816,0.75958,0.79048,0.61445,0.82286,0.75691,1.1184,0.000397019,0.000397019,0.000397019
59,1181.82,0.57652,0.4837,0.95668,0.86922,0.75287,0.78146,0.62006,0.80768,0.77777,1.10084,0.000381899,0.000381899,0.000381899
60,1202.81,0.61261,0.52389,0.96747,0.93293,0.7784,0.84222,0.62578,0.84817,0.70434,1.09239,0.000366899,0.000366899,0.000366899
61,1223.14,0.5647,0.47754,0.94965,0.85361,0.76915,0.80655,0.6367,0.76946,0.69397,1.09676,0.000352037,0.000352037,0.000352037
62,1242.89,0.55889,0.45999,0.95713,0.85534,0.7712,0.8248,0.61699,0.7876,0.779,1.09257,0.000337325,0.000337325,0.000337325
63,1263.91,0.56275,0.45928,0.94407,0.82404,0.77004,0.80112,0.62741,0.811,0.79835,1.08081,0.000322778,0.000322778,0.000322778
64,1279.06,0.57642,0.47755,0.96185,0.86146,0.76868,0.81841,0.62251,0.8039,0.7689,1.10879,0.000308412,0.000308412,0.000308412
65,1297.14,0.55446,0.45662,0.93848,0.87734,0.79781,0.81593,0.60836,0.78331,0.75017,1.09512,0.000294239,0.000294239,0.000294239
66,1315.61,0.54677,0.43984,0.93717,0.86743,0.78638,0.79468,0.6129,0.8146,0.76784,1.09365,0.000280275,0.000280275,0.000280275
