epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9266,0.87982,2.73405,1.11436,0.00064,0.22313,0.00055,0.00011,3.72967,5.05492,3.14162,0.08515,0.00015,0.00015
2,168.909,0.94064,1.42657,1.13056,0.14148,0.04622,0.08081,0.0187,2.06568,4.8054,2.22531,0.0693069,0.000306931,0.000306931
3,242.176,0.93746,1.18192,1.13683,0.31961,0.55745,0.50018,0.38197,1.03569,3.52361,1.27931,0.0534607,0.000460694,0.000460694
4,318.621,0.91323,1.0788,1.11644,0.65334,0.27369,0.36838,0.26546,1.21908,2.82574,1.37983,0.0376113,0.000611289,0.000611289
5,389.922,0.93331,0.99054,1.12869,0.82306,0.5546,0.68616,0.47006,1.15337,1.95491,1.45367,0.0217587,0.000758716,0.000758716
6,468.775,0.94075,0.99025,1.13107,0.84621,0.65601,0.70031,0.49636,1.00336,1.35205,1.2059,0.00590297,0.000902975,0.000902975
7,548.994,0.89403,0.91855,1.11354,0.82575,0.62845,0.65228,0.46405,1.04274,1.28608,1.22605,0.0009406,0.0009406,0.0009406
8,632.291,0.88487,0.92508,1.11192,0.60299,0.21085,0.23893,0.19377,1.05535,1.63736,1.25524,0.0009307,0.0009307,0.0009307
9,722.446,0.86412,0.91835,1.09922,0.80963,0.28878,0.30209,0.24075,0.96646,1.18363,1.25804,0.0009208,0.0009208,0.0009208
10,810.3,0.84992,0.86047,1.09339,0.71372,0.38102,0.37476,0.29052,0.96076,1.90492,1.24286,0.0009109,0.0009109,0.0009109
11,905.13,0.90086,0.92289,1.13202,0.89362,0.49729,0.54539,0.42031,0.94342,1.19036,1.14108,0.000901,0.000901,0.000901
12,985.422,0.86005,0.85725,1.1047,0.79788,0.77061,0.80519,0.57073,1.03397,0.9401,1.2255,0.0008911,0.0008911,0.0008911
13,1074.67,0.86041,0.86191,1.09637,0.94791,0.25879,0.28278,0.21777,0.96457,1.13875,1.20088,0.0008812,0.0008812,0.0008812
14,1171.51,0.82794,0.82863,1.06047,0.89335,0.32674,0.34764,0.26806,0.92545,1.0945,1.19614,0.0008713,0.0008713,0.0008713
15,1261.31,0.82767,0.82923,1.06249,0.49038,0.22355,0.21235,0.16966,0.98021,1.36256,1.23965,0.0008614,0.0008614,0.0008614
16,1338.02,0.81584,0.80046,1.07192,0.81523,0.72444,0.76719,0.57694,0.88735,0.93976,1.15085,0.0008515,0.0008515,0.0008515
17,1437.33,0.83818,0.76173,1.0856,0.83078,0.63274,0.64314,0.47175,0.94732,0.92213,1.16519,0.0008416,0.0008416,0.0008416
18,1533.31,0.77965,0.72074,1.04283,0.71,0.68072,0.67339,0.50071,0.92277,1.00731,1.18594,0.0008317,0.0008317,0.0008317
19,1620.62,0.82218,0.76612,1.06944,0.82602,0.72755,0.75992,0.56849,0.91331,1.1168,1.21272,0.0008218,0.0008218,0.0008218
